nuts_1_code,nuts_1,nuts_2_code,nuts_2,nuts_3_code,nuts_3,region,territory
PT1,Portugal Continental,PT11,Região do Norte,PT111,Alto Minho,Viana do Castelo,Arcos de Valdevez
PT1,Portugal Continental,PT11,Região do Norte,PT111,Alto Minho,Viana do Castelo,Caminha
PT1,Portugal Continental,PT11,Região do Norte,PT111,Alto Minho,Viana do Castelo,Melgaço
PT1,Portugal Continental,PT11,Região do Norte,PT111,Alto Minho,Viana do Castelo,Monção
PT1,Portugal Continental,PT11,Região do Norte,PT111,Alto Minho,Viana do Castelo,Paredes de Coura
PT1,Portugal Continental,PT11,Região do Norte,PT111,Alto Minho,Viana do Castelo,Ponte da Barca
PT1,Portugal Continental,PT11,Região do Norte,PT111,Alto Minho,Viana do Castelo,Ponte de Lima
PT1,Portugal Continental,PT11,Região do Norte,PT111,Alto Minho,Viana do Castelo,Valença
PT1,Portugal Continental,PT11,Região do Norte,PT111,Alto Minho,Viana do Castelo,Viana do Castelo
PT1,Portugal Continental,PT11,Região do Norte,PT111,Alto Minho,Viana do Castelo,Vila Nova de Cerveira
PT1,Portugal Continental,PT11,Região do Norte,PT112,Cávado,Braga,Amares
PT1,Portugal Continental,PT11,Região do Norte,PT112,Cávado,Braga,Barcelos
PT1,Portugal Continental,PT11,Região do Norte,PT112,Cávado,Braga,Braga
PT1,Portugal Continental,PT11,Região do Norte,PT112,Cávado,Braga,Esposende
PT1,Portugal Continental,PT11,Região do Norte,PT112,Cávado,Braga,Terras de Bouro
PT1,Portugal Continental,PT11,Região do Norte,PT112,Cávado,Braga,Vila Verde
PT1,Portugal Continental,PT11,Região do Norte,PT119,Ave,Braga,Cabeceiras de Basto
PT1,Portugal Continental,PT11,Região do Norte,PT119,Ave,Braga,Fafe
PT1,Portugal Continental,PT11,Região do Norte,PT119,Ave,Braga,Guimarães
PT1,Portugal Continental,PT11,Região do Norte,PT119,Ave,Vila Real,Mondim de Basto
PT1,Portugal Continental,PT11,Região do Norte,PT119,Ave,Braga,Póvoa de Lanhoso
PT1,Portugal Continental,PT11,Região do Norte,PT119,Ave,Braga,Vieira do Minho
PT1,Portugal Continental,PT11,Região do Norte,PT119,Ave,Braga,Vila Nova de Famalicão
PT1,Portugal Continental,PT11,Região do Norte,PT119,Ave,Braga,Vizela
PT1,Portugal Continental,PT11,Região do Norte,PT11A,Área Metropolitana do Porto,Aveiro,Arouca
PT1,Portugal Continental,PT11,Região do Norte,PT11A,Área Metropolitana do Porto,Aveiro,Espinho
PT1,Portugal Continental,PT11,Região do Norte,PT11A,Área Metropolitana do Porto,Porto,Gondomar
PT1,Portugal Continental,PT11,Região do Norte,PT11A,Área Metropolitana do Porto,Porto,Maia
PT1,Portugal Continental,PT11,Região do Norte,PT11A,Área Metropolitana do Porto,Porto,Matosinhos
PT1,Portugal Continental,PT11,Região do Norte,PT11A,Área Metropolitana do Porto,Aveiro,Oliveira de Azeméis
PT1,Portugal Continental,PT11,Região do Norte,PT11A,Área Metropolitana do Porto,Porto,Paredes
PT1,Portugal Continental,PT11,Região do Norte,PT11A,Área Metropolitana do Porto,Porto,Porto
PT1,Portugal Continental,PT11,Região do Norte,PT11A,Área Metropolitana do Porto,Porto,Póvoa de Varzim
PT1,Portugal Continental,PT11,Região do Norte,PT11A,Área Metropolitana do Porto,Aveiro,Santa Maria da Feira
PT1,Portugal Continental,PT11,Região do Norte,PT11A,Área Metropolitana do Porto,Porto,Santo Tirso
PT1,Portugal Continental,PT11,Região do Norte,PT11A,Área Metropolitana do Porto,Aveiro,São João da Madeira
PT1,Portugal Continental,PT11,Região do Norte,PT11A,Área Metropolitana do Porto,Porto,Trofa
PT1,Portugal Continental,PT11,Região do Norte,PT11A,Área Metropolitana do Porto,Aveiro,Vale de Cambra
