territory,year,population_total,population_density,population_pp_pc
Abrantes,2016,36421,50.6,
Abrantes,2017,35937,49.9,89.2
Abrantes,2018,35463,49.3,
Abrantes,2019,35083,48.9,88.6
Abrantes,2020,34745,48.4,
Abrantes,2021,34365,47.8,88.5
Abrantes,2022,34015,47.4,
Abrantes,2023,33835,47.3,90.0
Abrantes,2024,33791,47.3,
Aguiar da Beira,2016,5555,26.7,
Aguiar da Beira,2017,5488,26.4,67.4
Aguiar da Beira,2018,5434,26.2,
Aguiar da Beira,2019,5392,26.0,68.8
Aguiar da Beira,2020,5361,25.9,
Aguiar da Beira,2021,5332,25.7,70.5
Aguiar da Beira,2022,5299,25.6,
Aguiar da Beira,2023,5293,25.6,69.7
Aguiar da Beira,2024,5314,25.8,
Alandroal,2016,5358,9.8,
Alandroal,2017,5271,9.6,64.5
Alandroal,2018,5184,9.5,
Alandroal,2019,5115,9.4,66.8
Alandroal,2020,5060,9.3,
Alandroal,2021,5034,9.3,69.8
Alandroal,2022,5020,9.2,
Alandroal,2023,5003,9.2,71.1
Alandroal,2024,4985,9.2,
Albergaria-a-Velha,2016,24813,155.9,
Albergaria-a-Velha,2017,24750,155.8,84.5
Albergaria-a-Velha,2018,24744,155.8,
Albergaria-a-Velha,2019,24797,156.4,86.5
Albergaria-a-Velha,2020,24921,157.4,
Albergaria-a-Velha,2021,25099,158.7,85.4
Albergaria-a-Velha,2022,25263,159.5,
Albergaria-a-Velha,2023,25552,162.3,85.4
Albergaria-a-Velha,2024,25975,164.8,
Albufeira,2016,42336,302.3,
Albufeira,2017,42808,306.3,112.0
Albufeira,2018,43364,310.3,
Albufeira,2019,44053,316.1,114.1
Albufeira,2020,44425,315.5,
Albufeira,2021,44546,317.8,107.0
Albufeira,2022,45610,330.7,
Albufeira,2023,47019,337.9,104.1
Albufeira,2024,48166,347.0,
Alcanena,2016,13009,101.4,
Alcanena,2017,12844,100.3,86.1
Alcanena,2018,12715,99.4,
Alcanena,2019,12613,98.7,85.1
Alcanena,2020,12569,98.7,
Alcanena,2021,12558,98.5,85.3
Alcanena,2022,12580,99.1,
Alcanena,2023,12682,100.1,83.2
Alcanena,2024,12813,101.1,
Alcobaça,2016,55022,134.4,
Alcobaça,2017,54720,133.7,86.7
Alcobaça,2018,54474,133.2,
Alcobaça,2019,54469,133.7,87.4
Alcobaça,2020,54927,135.5,
Alcobaça,2021,55511,136.6,86.3
Alcobaça,2022,56037,138.0,
Alcobaça,2023,56849,140.5,84.8
Alcobaça,2024,57666,142.0,
Alcochete,2016,18352,143.4,
Alcochete,2017,18504,144.9,118.8
Alcochete,2018,18669,146.0,
Alcochete,2019,18862,147.9,119.8
Alcochete,2020,19133,150.2,
Alcochete,2021,19375,151.7,118.9
Alcochete,2022,19646,154.4,
Alcochete,2023,19962,156.6,117.8
Alcochete,2024,20282,159.4,
Alcoutim,2016,2703,4.7,
Alcoutim,2017,2661,4.6,67.5
Alcoutim,2018,2628,4.5,
Alcoutim,2019,2601,4.5,71.0
Alcoutim,2020,2566,4.4,
Alcoutim,2021,2528,4.4,71.0
Alcoutim,2022,2485,4.3,
Alcoutim,2023,2436,4.2,71.6
Alcoutim,2024,2407,4.2,
Alcácer do Sal,2016,11887,7.9,
Alcácer do Sal,2017,11707,7.8,81.5
Alcácer do Sal,2018,11554,7.7,
Alcácer do Sal,2019,11435,7.6,84.5
Alcácer do Sal,2020,11318,7.5,
Alcácer do Sal,2021,11181,7.4,87.7
Alcácer do Sal,2022,11086,7.4,
Alcácer do Sal,2023,11069,7.4,86.6
Alcácer do Sal,2024,11059,7.4,
Alenquer,2016,43061,141.7,
Alenquer,2017,43145,142.0,89.2
Alenquer,2018,43261,142.4,
Alenquer,2019,43537,143.8,89.0
Alenquer,2020,44220,146.9,
Alenquer,2021,45298,150.9,88.8
Alenquer,2022,46408,154.2,
Alenquer,2023,47619,158.8,87.3
Alenquer,2024,48897,162.6,
Alfândega da Fé,2016,4599,14.2,
Alfândega da Fé,2017,4542,14.0,66.0
Alfândega da Fé,2018,4496,13.9,
Alfândega da Fé,2019,4453,13.8,69.5
Alfândega da Fé,2020,4387,13.5,
Alfândega da Fé,2021,4309,13.3,68.3
Alfândega da Fé,2022,4258,13.2,
Alfândega da Fé,2023,4234,13.1,69.1
Alfândega da Fé,2024,4200,13.0,
Alijó,2016,10993,36.7,
Alijó,2017,10875,36.4,63.6
Alijó,2018,10765,36.0,
Alijó,2019,10650,35.6,64.5
Alijó,2020,10569,35.4,
