territory,year,unemployment_total,unemployment_female,unemployment_male,unemployment[<25],unemployment[25-34],unemployment[35-44],unemployment[45-54],unemployment[>54],unemployment_el_b1,unemployment_el_b2,unemployment_el_b3,unemployment_el_hs,unemployment_el_c,unemployment_el_ne
Abrantes,2016,1867.1,986.9,880.2,214.3,370.3,450.8,433.6,398.1,330.8,284.5,451.6,477.7,213.5,109.1
Abrantes,2017,1637.9,873.9,764.0,180.3,324.4,378.8,388.1,366.3,254.1,249.8,415.4,415.2,195.3,108.1
Abrantes,2018,1409.1,778.9,630.2,173.9,263.9,309.9,332.0,329.3,218.5,214.3,337.9,376.3,162.6,99.6
Abrantes,2019,1358.4,759.8,598.7,166.3,254.3,293.9,300.4,343.6,189.3,214.8,356.6,370.4,148.4,79.0
Abrantes,2020,1513.0,794.8,718.2,180.3,311.1,323.3,316.8,381.6,199.2,221.7,387.0,458.9,165.1,81.2
Abrantes,2021,1323.7,708.7,615.0,151.9,260.0,266.3,281.8,363.8,189.0,195.3,309.8,400.3,149.6,79.8
Abrantes,2022,1195.0,640.8,554.3,141.4,204.7,223.1,273.6,352.3,163.1,175.9,285.4,363.4,125.0,82.2
Abrantes,2023,1139.6,614.9,524.7,156.8,214.2,209.2,233.0,326.5,127.4,154.7,266.4,391.3,123.8,76.1
Abrantes,2024,1327.8,711.1,616.8,202.6,294.3,265.3,247.8,317.8,116.1,152.7,289.8,561.2,126.1,82.1
Aguiar da Beira,2016,180.3,92.3,88.0,28.6,40.3,23.0,42.3,46.1,48.2,22.8,25.8,40.7,24.3,18.5
Aguiar da Beira,2017,164.6,78.7,85.9,26.1,30.3,17.7,40.1,50.5,49.4,23.2,17.7,36.3,14.6,23.4
Aguiar da Beira,2018,162.0,78.0,84.0,22.2,27.4,20.6,34.2,57.7,48.3,22.2,23.5,35.0,9.8,23.2
Aguiar da Beira,2019,133.1,61.2,71.9,16.8,24.1,21.4,20.8,50.0,38.7,18.0,17.0,28.9,12.4,18.1
Aguiar da Beira,2020,137.4,63.3,74.2,14.6,19.9,21.8,28.7,52.4,40.2,22.3,20.0,32.6,8.9,13.4
Aguiar da Beira,2021,135.0,66.0,69.0,16.5,21.8,26.6,25.2,44.9,33.4,22.3,23.7,34.5,11.7,9.4
Aguiar da Beira,2022,98.6,48.3,50.3,13.1,14.7,19.0,16.1,35.8,21.1,15.2,19.3,27.2,9.2,6.8
Aguiar da Beira,2023,88.4,42.5,45.9,10.7,14.0,19.1,14.5,30.2,14.8,14.8,13.3,24.6,13.0,7.9
Aguiar da Beira,2024,81.8,37.9,43.8,8.7,12.9,15.7,15.1,29.4,15.7,11.3,15.7,21.7,10.8,6.6
Alandroal,2016,278.2,146.3,131.8,40.1,56.5,65.6,71.3,44.8,64.4,62.2,56.1,61.9,21.9,11.7
Alandroal,2017,220.7,125.9,94.8,33.1,44.3,54.0,49.8,39.5,50.6,43.4,42.8,57.6,16.3,10.0
Alandroal,2018,164.6,99.8,64.8,22.0,28.6,40.1,40.5,33.4,34.9,30.0,35.2,46.3,13.1,5.1
Alandroal,2019,156.8,101.8,54.9,26.3,24.8,35.4,35.8,34.4,33.3,31.8,30.2,47.0,11.4,3.1
Alandroal,2020,145.8,99.7,46.2,22.1,14.8,33.6,36.2,39.2,33.3,28.1,27.2,42.5,11.7,3.1
Alandroal,2021,98.3,65.0,33.3,14.4,9.8,22.3,19.8,31.9,17.9,15.7,20.2,33.3,9.3,1.9
Alandroal,2022,88.3,56.0,32.3,10.7,12.8,18.7,22.7,23.5,17.8,16.2,18.3,24.3,9.1,2.7
Alandroal,2023,83.5,49.8,33.7,10.0,9.6,16.5,22.7,24.8,16.1,13.1,15.8,24.7,10.6,3.3
Alandroal,2024,81.1,47.7,33.4,7.1,12.8,19.3,17.9,23.9,12.5,17.6,15.3,25.0,6.8,3.8
Albergaria-a-Velha,2016,895.6,540.6,355.0,138.7,178.1,179.7,186.7,212.5,169.1,164.3,161.8,198.5,118.9,83.0
Albergaria-a-Velha,2017,716.4,428.0,288.4,108.2,146.5,135.8,148.1,177.9,135.4,113.6,119.7,162.2,111.3,74.3
Albergaria-a-Velha,2018,576.8,362.7,214.1,73.4,117.3,114.8,112.7,158.5,95.8,84.3,92.8,140.3,91.6,71.9
Albergaria-a-Velha,2019,485.9,306.6,179.3,61.8,90.8,106.0,102.2,125.1,72.0,81.0,76.1,124.7,73.4,58.8
Albergaria-a-Velha,2020,645.7,392.8,252.8,89.4,136.4,153.3,129.4,137.1,73.9,115.8,132.8,185.7,83.3,54.1
Albergaria-a-Velha,2021,576.6,343.3,233.3,79.6,117.7,118.3,115.8,145.3,66.3,108.2,113.7,156.0,71.1,61.3
Albergaria-a-Velha,2022,474.3,293.0,181.3,54.1,91.4,92.3,97.7,138.9,59.8,85.0,91.4,130.8,52.3,55.2
Albergaria-a-Velha,2023,505.9,326.4,179.5,60.0,97.0,113.9,112.3,122.8,55.9,79.6,107.2,166.4,53.8,43.1
Albergaria-a-Velha,2024,516.2,315.1,201.1,73.4,117.5,106.7,105.9,112.7,49.5,71.5,105.0,196.5,52.7,41.0
Albufeira,2016,2196.4,1181.8,1014.7,254.1,528.9,534.6,481.6,397.3,309.7,330.4,517.8,772.0,182.5,84.1
Albufeira,2017,1960.6,1055.4,905.2,220.5,484.1,472.5,422.7,360.8,258.1,282.9,461.5,719.6,150.0,88.5
Albufeira,2018,1855.8,1017.9,837.8,194.1,465.0,458.5,390.9,347.3,208.6,259.7,429.9,730.0,137.1,90.5
Albufeira,2019,1911.9,1036.7,875.3,192.4,507.2,462.4,395.8,354.1,186.8,247.5,430.8,820.3,122.5,104.1
Albufeira,2020,4754.8,2517.5,2237.3,514.8,1410.3,1140.1,931.8,757.8,403.3,551.2,1055.2,2276.2,229.2,239.8
Albufeira,2021,4376.2,2362.3,2013.8,402.3,1205.4,1075.2,881.1,812.2,356.8,496.7,936.5,1943.6,226.0,416.6
Albufeira,2022,2338.1,1259.6,1078.5,213.6,632.4,556.7,448.6,486.8,172.1,242.1,423.8,906.0,120.4,473.8
Albufeira,2023,2278.5,1179.1,1099.4,224.1,674.4,532.8,416.9,430.3,133.3,216.4,410.0,1129.0,109.6,280.3
Albufeira,2024,2591.5,1286.2,1305.3,261.3,825.5,607.3,464.6,432.8,160.1,223.2,478.2,1389.3,113.2,227.7
Alcanena,2016,402.7,223.6,179.1,59.1,87.9,91.3,93.3,71.0,50.4,67.9,90.3,125.9,59.9,8.3
Alcanena,2017,324.2,192.3,131.8,46.0,71.7,72.5,72.5,61.5,34.8,49.7,68.8,113.5,50.6,6.8
Alcanena,2018,275.3,173.2,102.2,32.4,56.0,60.3,64.3,62.3,35.1,39.3,56.4,97.1,41.6,5.8
Alcanena,2019,201.5,128.2,73.3,30.2,42.0,39.3,46.3,43.8,20.3,28.7,43.8,69.8,34.1,4.9
Alcanena,2020,256.0,141.5,114.5,35.8,51.9,58.9,53.7,55.8,16.8,44.1,57.5,90.5,39.5,7.7
Alcanena,2021,261.0,147.7,113.3,38.4,51.6,55.8,57.7,57.5,25.2,39.3,63.9,84.5,40.3,7.8
Alcanena,2022,236.8,134.3,102.4,29.1,48.3,50.6,51.8,57.0,20.5,37.5,48.9,79.8,38.4,11.6
Alcanena,2023,235.1,131.0,104.1,30.3,52.5,51.5,51.7,49.1,14.3,35.9,46.8,93.5,33.1,11.5
Alcanena,2024,279.5,152.2,127.3,27.0,61.6,61.0,66.3,63.7,19.8,45.2,63.8,115.2,25.3,10.3
Alcobaça,2016,1768.8,973.1,795.7,252.4,352.8,369.3,386.3,407.9,330.2,258.8,373.3,468.4,263.0,75.0
Alcobaça,2017,1538.5,856.9,681.6,222.7,294.6,322.1,320.8,378.3,289.4,203.3,313.9,429.0,225.0,77.8
Alcobaça,2018,1166.9,691.0,475.9,155.5,215.3,236.6,231.0,328.5,205.4,140.9,240.6,337.1,184.3,58.7
Alcobaça,2019,1003.3,587.8,415.5,135.9,181.5,187.8,197.2,300.9,169.1,128.3,201.3,299.5,158.9,46.1
Alcobaça,2020,1340.3,786.4,553.8,190.2,281.5,249.4,268.6,350.6,172.2,154.1,308.0,450.5,195.3,60.3
Alcobaça,2021,1213.9,703.3,510.7,179.6,230.0,218.8,225.2,360.4,168.0,144.0,238.8,402.5,196.0,64.6
