territory,year,population_total,unemployment_total,unemployment_female,unemployment_male,unemployment[<25],unemployment[25-34],unemployment[35-44],unemployment[45-54],unemployment[>54],unemployment_el_b1,unemployment_el_b2,unemployment_el_b3,unemployment_el_hs,unemployment_el_c,unemployment_el_ne
Abrantes,2016,36421,512.6438043985612,270.9700447543999,241.67375964416135,58.839680404162436,101.67211224293676,123.77474533922737,119.05219516213174,109.30507125010297,90.8267208478625,78.11427473161088,123.99439883583646,131.16059416270832,58.62002690755333,29.955245600065894
Abrantes,2017,35937,455.76981940618305,243.175557225144,212.59426218103903,50.17113281576091,90.26908200461918,105.4066839190806,107.99454601107495,101.92837465564739,70.7070707070707,69.51053232044967,115.59117344241311,115.53552049419817,54.34510393188079,30.080418510170574
Abrantes,2018,35463,397.3437103459944,219.63736852494148,177.70634182105294,49.037024504413054,74.4155880777148,87.38685390406903,93.61870118151313,92.85734427431407,61.613512675182584,60.42917970842851,95.2824070157629,106.11059414037166,45.85060485576516,28.085610354453937
Abrantes,2019,35083,387.19607787247384,216.57212895134393,170.65245275489553,47.40187555226178,72.48524926602629,83.7727674372203,85.625516631987,97.93917281874413,53.95775731835932,61.2262349285979,101.64467120827752,105.57820026793603,42.29968930821195,22.518028674856765
Abrantes,2020,34745,435.4583393293999,228.75233846596632,206.70600086343362,51.89235861275004,89.5380630306519,93.04935962008922,91.17858684702836,109.82875233846597,57.33199021441934,63.80774212116851,111.38293279608577,132.07655777809757,47.51762843574615,23.370269103468125
Abrantes,2021,34365,385.18841844900334,206.22726611377857,178.9611523352248,44.20194965808235,75.65837334497309,77.4916339298705,82.00203695620544,105.86352393423542,54.99781754692274,56.83107813182017,90.14986177797178,116.4847955768951,43.53266404772297,23.221300742034046
Abrantes,2022,34015,351.3155960605615,188.38747611347932,162.95751874173158,41.569895634279,60.179332647361456,65.58871086285463,80.43510216081141,103.57195354990446,47.949434073202994,51.71247978832868,83.90415992944288,106.83521975599,36.74849331177422,24.165809201822725
Abrantes,2023,33835,336.810994532289,181.73488990690112,155.07610462538793,46.34254470223142,63.30722624501256,61.82946652874242,68.86360277818827,96.49770947243978,37.653317570563026,45.72188562139795,78.73503768287276,115.64947539530073,36.589330574848525,22.491502881631444
Abrantes,2024,33791,392.9448669764138,210.44064987718622,182.5338107780178,59.95679322896629,87.09419667958923,78.51202983042822,73.33313604214139,94.04871119528869,34.358261075434285,45.189547512651295,85.76248113402977,166.07972537066084,37.31762895445532,24.296410286762743
Aguiar da Beira,2016,5555,324.5724572457246,166.15661566156615,158.41584158415841,51.48514851485149,72.54725472547254,41.40414041404141,76.14761476147615,82.98829882988299,86.76867686768678,41.044104410441044,46.44464446444645,73.26732673267327,43.744374437443746,33.3033303330333
Aguiar da Beira,2017,5488,299.9271137026239,143.40379008746356,156.52332361516036,47.558309037900884,55.21137026239067,32.25218658892128,73.06851311953353,92.0189504373178,90.01457725947522,42.27405247813412,32.25218658892128,66.14431486880467,26.603498542274053,42.63848396501458
Aguiar da Beira,2018,5434,298.12292970187707,143.54066985645935,154.58225984541775,40.85388295914612,50.423260949576736,37.90945896209055,62.93706293706294,106.18329039381672,88.8847994111152,40.85388295914612,43.24622745675377,64.40927493559073,18.034596981965404,42.69414795730585
Aguiar da Beira,2019,5392,246.84718100890206,113.50148367952522,133.34569732937686,31.15727002967359,44.695845697329375,39.688427299703264,38.57566765578635,92.7299703264095,71.77299703264096,33.38278931750742,31.52818991097923,53.59792284866469,22.997032640949556,33.568249258160236
Aguiar da Beira,2020,5361,256.29546726357023,118.07498601007273,138.4070136168625,27.2337250512964,37.11994030964372,40.66405521357956,53.534788285767576,97.74295840328297,74.98601007274762,41.596717030404776,37.30647267300876,60.80955045700429,16.6013803394889,24.995336690915874
Aguiar da Beira,2021,5332,253.18829707426858,123.78094523630908,129.40735183795948,30.94523630907727,40.88522130532633,49.887471867966994,47.26181545386346,84.2085521380345,62.640660165041254,41.82295573893474,44.448612153038255,64.70367591897974,21.94298574643661,17.62940735183796
Aguiar da Beira,2022,5299,186.07284393281748,91.14927344782033,94.92357048499716,24.721645593508207,27.741083223249667,35.85582185317984,30.383091149273447,67.55991696546518,39.81883374221551,28.684657482543873,36.42196640875637,51.330439705604824,17.361766371013395,12.832609926401206
Aguiar da Beira,2023,5293,167.0130360853958,80.29472888720953,86.71830719818628,20.215378802191573,26.450028339316077,36.085395805781225,27.394672208577365,57.05648970338182,27.96145853013414,27.96145853013414,25.127526922350274,46.476478367655396,24.5607406007935,14.925373134328359
Aguiar da Beira,2024,5314,153.9330071509221,71.32103876552503,82.42378622506587,16.37184794881445,24.27549868272488,29.544599171998495,28.41550621001129,55.32555513737297,29.544599171998495,21.26458411742567,29.544599171998495,40.83552879187053,20.323673315769668,12.42002258185924
Alandroal,2016,5358,519.2235908921239,273.0496453900709,245.9873086972751,74.84135871593878,105.44979469951474,122.43374393430382,133.07204180664425,83.61328854050018,120.19410227696902,116.08809257185516,104.70324748040312,115.52818215752144,40.87346024636057,21.836506159014554
Alandroal,2017,5271,418.70612786947447,238.8541073800038,179.85202048947068,62.7964333143616,84.04477328780116,102.44735344336938,94.47922595332953,74.93834187061279,95.99696452286094,82.33731739707835,81.1990134699298,109.27717700626067,30.923923354202238,18.971732119142477
Alandroal,2018,5184,317.5154320987654,192.51543209876544,125.0,42.43827160493827,55.16975308641976,77.3533950617284,78.125,64.42901234567901,67.32253086419753,57.870370370370374,67.90123456790124,89.31327160493827,25.270061728395063,9.837962962962964
Alandroal,2019,5115,306.5493646138808,199.02248289345064,107.33137829912025,51.41739980449658,48.48484848484849,69.20821114369502,69.9902248289345,67.25317693059628,65.10263929618769,62.1700879765396,59.04203323558163,91.88660801564028,22.287390029325515,6.060606060606061
Alandroal,2020,5060,288.1422924901186,197.03557312252966,91.30434782608697,43.67588932806324,29.24901185770751,66.40316205533597,71.5415019762846,77.4703557312253,65.81027667984189,55.533596837944664,53.754940711462446,83.99209486166008,23.122529644268774,6.126482213438735
Alandroal,2021,5034,195.27214938418754,129.12197059992056,66.15017878426698,28.60548271752086,19.467620182757255,44.29876837504967,39.33253873659118,63.36909018673024,35.558204211362735,31.18792212951927,40.12713547874454,66.15017878426698,18.474374255065555,3.7743345252284466
Alandroal,2022,5020,175.89641434262947,111.55378486055777,64.3426294820717,21.31474103585657,25.498007968127492,37.25099601593625,45.21912350597609,46.81274900398407,35.45816733067729,32.27091633466135,36.45418326693227,48.40637450199203,18.127490039840637,5.378486055776893
Alandroal,2023,5003,166.89986008394965,99.5402758344993,67.35958424945034,19.98800719568259,19.18848690785529,32.980211872876275,45.37277633419948,49.57025784529283,32.180691585048976,26.184289426344193,31.581051369178496,49.370377773336,21.187287627423547,6.596042374575255
Alandroal,2024,4985,162.6880641925777,95.68706118355065,67.00100300902707,14.24272818455366,25.67703109327984,38.71614844533601,35.90772316950852,47.94383149448345,25.075225677031092,35.305917753259784,30.69207622868606,50.150451354062184,13.640922768304915,7.622868605817452
