territory,year,company_total,company_individual,company_society,company_density,company_nr_cae_a,company_nr_cae_b,company_nr_cae_c,company_nr_cae_d,company_nr_cae_e,company_nr_cae_f,company_nr_cae_g,company_nr_cae_h,company_nr_cae_i,company_nr_cae_j,company_nr_cae_l,company_nr_cae_m,company_nr_cae_n,company_nr_cae_p,company_nr_cae_q,company_nr_cae_r,company_nr_cae_s,company_nr_employee_[<10],company_nr_employee_[10-19],company_nr_employee_[20-49],company_nr_employee_[50-249],company_nr_employee_[>249],company_employee_nr_cae_a,company_employee_nr_cae_b,company_employee_nr_cae_c,company_employee_nr_cae_d,company_employee_nr_cae_e,company_employee_nr_cae_f,company_employee_nr_cae_g,company_employee_nr_cae_h,company_employee_nr_cae_i,company_employee_nr_cae_j,company_employee_nr_cae_l,company_employee_nr_cae_m,company_employee_nr_cae_n,company_employee_nr_cae_p,company_employee_nr_cae_q,company_employee_nr_cae_r,company_employee_nr_cae_s,company_employee_nr_total,company_gva_cae_a,company_gva_cae_b,company_gva_cae_c,company_gva_cae_d,company_gva_cae_e,company_gva_cae_f,company_gva_cae_g,company_gva_cae_h,company_gva_cae_i,company_gva_cae_j,company_gva_cae_l,company_gva_cae_m,company_gva_cae_n,company_gva_cae_p,company_gva_cae_q,company_gva_cae_r,company_gva_cae_s,company_gva_total,company_births_af,company_births_ice,company_births_s,company_births_total
Abrantes,2016,3041,2138,903,4.3,305,0,146,48,8,212,687,56,260,32,44,246,326,174,250,75,172,2946,47,35,12,1,588,0,1940,182,165,468,1598,104,611,43,63,387,426,192,439,88,240,7534,5977,0,69078,123373,6078,6093,22568,1955,6059,446,1047,5053,3437,1066,6170,429,1610,260440,55,75,353,483
Abrantes,2017,3140,2231,909,4.4,305,0,158,49,6,217,687,62,264,35,52,254,353,170,270,87,171,3036,55,35,13,1,602,0,1995,189,164,515,1622,166,658,54,69,407,451,191,464,89,246,7882,4936,0,73337,121279,7045,7416,23178,2193,6957,725,1301,5278,3446,1057,6402,380,1659,266588,49,49,364,462
Abrantes,2018,3077,2168,909,4.3,309,0,156,51,8,207,652,62,260,35,48,250,313,173,284,95,174,2975,51,35,15,1,600,0,2027,187,175,560,1621,167,668,71,69,394,391,195,471,101,240,7937,5529,0,72594,119640,6616,9214,24352,2443,7617,1115,1048,5227,2850,1103,6326,441,1453,267566,49,37,278,364
Abrantes,2019,3084,2137,947,4.3,304,0,159,51,8,207,653,65,269,36,53,242,292,161,304,92,188,2976,59,33,15,1,538,0,2013,187,181,574,1600,206,696,66,73,421,360,183,497,103,262,7960,6045,0,67599,113379,6779,10588,24496,2908,8142,1082,1507,8254,2682,1069,6937,506,1578,263550,52,30,318,400
Abrantes,2020,3091,2113,978,4.3,299,0,147,55,9,205,626,66,263,41,63,258,313,168,314,79,185,2983,56,37,14,1,574,0,1794,184,181,643,1547,192,620,71,86,449,373,186,552,90,265,7807,7240,0,55655,104386,6031,9916,23903,3005,5627,1312,1915,9932,2236,911,6949,315,1874,241208,34,25,314,373
Abrantes,2021,3063,2048,1015,4.3,269,0,156,46,8,211,612,72,263,44,70,280,291,138,327,83,193,2959,53,35,15,1,462,0,1893,176,184,668,1520,195,590,83,90,489,350,155,566,102,276,7799,7578,0,66070,94752,8917,11269,26370,3370,6365,1450,1995,13076,2239,975,8859,453,2076,255817,29,36,309,374
Abrantes,2022,3229,2172,1057,4.5,290,0,160,54,8,210,611,73,276,45,84,289,341,160,346,93,189,3121,57,32,18,1,479,0,1993,139,0,726,1561,207,726,0,111,550,387,179,598,114,281,8324,6800,0,77412,23898,0,11284,28848,4480,11805,0,1857,16744,2425,1162,8985,653,2217,206657,40,37,368,445
Abrantes,2023,3317,2224,1093,4.6,286,0,172,37,8,225,603,74,271,57,88,289,378,169,342,106,212,3208,57,35,16,1,487,0,2076,113,197,700,1596,209,663,74,122,584,443,189,628,126,307,8514,8275,0,81542,20018,10015,13916,31907,5882,9782,1630,3354,19529,3259,1362,10233,923,2738,224367,35,48,402,485
Abrantes,2024,3458,2339,1119,4.8,284,0,181,31,8,247,620,77,265,73,106,294,410,178,348,111,225,3341,62,37,17,1,522,0,2177,111,204,747,1606,201,713,102,146,610,518,201,640,132,322,8952,8517,0,90461,17762,8448,16830,36902,4637,12029,1913,2987,20832,3998,1402,10883,1115,2939,241655,34,61,432,527
Aguiar da Beira,2016,708,516,192,3.4,245,4,41,4,0,63,135,30,59,2,9,29,24,16,20,4,23,689,14,5,0,0,0,35,181,4,0,211,400,78,89,0,10,58,24,18,61,4,32,1484,0,527,5273,17,0,2425,6075,1613,1124,0,111,601,64,223,825,3,189,20450,16,14,41,71
