territory,year,university_total,university_poli,university_uni,university_public_total,university_public_poli,university_public_uni,university_private_total,university_private_poli,university_private_uni,university_gl_lic,university_gl_lic1,university_gl_ma,university_gl_phd,university_gl_spc,university_gl_esp,university_gl_fc,university_gl_ba,university_gl_htc,university_sa_a,university_sa_ah,university_sa_sscl,university_sa_smi,university_sa_e,university_sa_eic,university_sa_hsp,university_sa_s
Abrantes,2016,313,313,0,313,313,0,0,0,0,0,260,19,0,0,0,0,0,34,0,56,85,59,0,113,0,0
Abrantes,2017,313,313,0,313,313,0,0,0,0,0,245,1,0,0,0,0,0,67,0,70,84,68,0,91,0,0
Abrantes,2018,323,323,0,323,323,0,0,0,0,0,237,10,0,0,0,0,0,76,0,78,86,44,0,115,0,0
Abrantes,2019,359,359,0,359,359,0,0,0,0,0,234,14,0,0,0,0,0,111,0,91,88,72,0,108,0,0
Abrantes,2020,435,435,0,435,435,0,0,0,0,0,265,6,0,0,0,0,0,164,0,130,108,99,0,98,0,0
Abrantes,2021,436,436,0,436,436,0,0,0,0,0,276,13,0,0,0,0,0,147,0,139,126,71,0,100,0,0
Abrantes,2022,404,404,0,404,404,0,0,0,0,0,268,6,0,0,0,0,0,130,0,118,101,86,0,99,0,0
Abrantes,2023,471,471,0,471,471,0,0,0,0,0,288,0,0,0,0,0,0,183,0,137,105,123,0,106,0,0
Abrantes,2024,509,509,0,509,509,0,0,0,0,0,312,0,0,0,0,0,0,197,0,154,105,148,0,102,0,0
Aguiar da Beira,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguiar da Beira,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguiar da Beira,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aguiar da Beira,2019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
