territory,year,population_total,university_total,university_poli,university_uni,university_public_total,university_public_poli,university_public_uni,university_private_total,university_private_poli,university_private_uni,university_gl_lic,university_gl_lic1,university_gl_ma,university_gl_phd,university_gl_spc,university_gl_esp,university_gl_fc,university_gl_ba,university_gl_htc,university_sa_a,university_sa_ah,university_sa_sscl,university_sa_smi,university_sa_e,university_sa_eic,university_sa_hsp,university_sa_s
Abrantes,2016,36421,85.93943054831004,85.93943054831004,0.0,85.93943054831004,85.93943054831004,0.0,0.0,0.0,0.0,0.0,71.38738639795721,5.2167705444661046,0.0,0.0,0.0,0.0,0.0,9.335273605886714,0.0,15.37574476263694,23.338184014716784,16.199445374921062,0.0,31.026056396035255,0.0,0.0
Abrantes,2017,35937,87.09686395636808,87.09686395636808,0.0,87.09686395636808,87.09686395636808,0.0,0.0,0.0,0.0,0.0,68.17486156329132,0.27826474107465843,0.0,0.0,0.0,0.0,0.0,18.643737652002113,0.0,19.47853187522609,23.374238250271308,18.922002393076774,0.0,25.322091437793915,0.0,0.0
Abrantes,2018,35463,91.08084482418295,91.08084482418295,0.0,91.08084482418295,91.08084482418295,0.0,0.0,0.0,0.0,0.0,66.83021740969461,2.819840397033528,0.0,0.0,0.0,0.0,0.0,21.43078701745481,0.0,21.994755096861518,24.25062741448834,12.407297746947522,0.0,32.428164565885574,0.0,0.0
Abrantes,2019,35083,102.32876321865291,102.32876321865291,0.0,102.32876321865291,102.32876321865291,0.0,0.0,0.0,0.0,0.0,66.69897101160106,3.9905367271898067,0.0,0.0,0.0,0.0,0.0,31.63925547986204,0.0,25.938488726733745,25.0833737137645,20.522760311261862,0.0,30.784140466892794,0.0,0.0
Abrantes,2020,34745,125.19787019715068,125.19787019715068,0.0,125.19787019715068,125.19787019715068,0.0,0.0,0.0,0.0,0.0,76.26996690171248,1.7268671751331126,0.0,0.0,0.0,0.0,0.0,47.20103612030508,0.0,37.41545546121744,31.08360915239603,28.49330838969636,0.0,28.20549719384084,0.0,0.0
Abrantes,2021,34365,126.87327222464717,126.87327222464717,0.0,126.87327222464717,126.87327222464717,0.0,0.0,0.0,0.0,0.0,80.31427324312527,3.782918667248654,0.0,0.0,0.0,0.0,0.0,42.776080314273244,0.0,40.448130365197144,36.66521169794849,20.660555798050343,0.0,29.099374363451187,0.0,0.0
Abrantes,2022,34015,118.77113038365427,118.77113038365427,0.0,118.77113038365427,118.77113038365427,0.0,0.0,0.0,0.0,0.0,78.78876966044392,1.7639276789651623,0.0,0.0,0.0,0.0,0.0,38.21843304424519,0.0,34.69057768631486,29.692782595913567,25.282963398500662,0.0,29.10480670292518,0.0,0.0
Abrantes,2023,33835,139.20496527264666,139.20496527264666,0.0,139.20496527264666,139.20496527264666,0.0,0.0,0.0,0.0,0.0,85.11895965715973,0.0,0.0,0.0,0.0,0.0,0.0,54.08600561548692,0.0,40.49061622580168,31.032954041672824,36.35288902024531,0.0,31.32850598492685,0.0,0.0
Abrantes,2024,33791,150.631825042171,150.631825042171,0.0,150.631825042171,150.631825042171,0.0,0.0,0.0,0.0,0.0,92.33227782545647,0.0,0.0,0.0,0.0,0.0,0.0,58.29954721671451,0.0,45.57426533692403,31.07336272972093,43.798644609511406,0.0,30.18555236601462,0.0,0.0
Aguiar da Beira,2016,5555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguiar da Beira,2017,5488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguiar da Beira,2018,5434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguiar da Beira,2019,5392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguiar da Beira,2020,5361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguiar da Beira,2021,5332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguiar da Beira,2022,5299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguiar da Beira,2023,5293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aguiar da Beira,2024,5314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alandroal,2016,5358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alandroal,2017,5271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alandroal,2018,5184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alandroal,2019,5115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alandroal,2020,5060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alandroal,2021,5034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alandroal,2022,5020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alandroal,2023,5003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alandroal,2024,4985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Albergaria-a-Velha,2016,24813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
