HQ city,HQ state,startup_count,funded_count,grant_count,vc_count,total_funding_eur_m,median_funding_eur_m,avg_startup_age,sector_diversity,top_industry,pct_operational,pct_closed,metro_area,funded_ratio,grant_ratio,vc_ratio
Abrantes,Santarém,1,1,0,1,0.31,0.31,8.0,1,marketing,100.0,0.0,Other,100.0,0.0,100.0
Albufeira,Faro,4,0,0,0,0.0,,7.0,4,food,75.0,25.0,Other,0.0,0.0,0.0
Alcanena,Santarém,1,0,0,0,0.0,,4.0,1,fashion,100.0,0.0,Other,0.0,0.0,0.0
Alcobaça,Leiria,5,1,3,0,0.05,0.05,14.8,3,food,80.0,0.0,Other,20.0,60.0,0.0
Alcácer do Sal,Setúbal,4,0,0,1,0.0,,12.0,3,enterprise software,75.0,25.0,Other,0.0,0.0,25.0
Alenquer,Lisboa,2,1,2,1,31.67,31.67,6.5,1,health,50.0,50.0,Other,50.0,100.0,50.0
Aljustrel,Beja,1,0,0,0,0.0,,8.0,1,food,0.0,0.0,Other,0.0,0.0,0.0
Almada,Setúbal,40,8,4,5,19.01,0.38,10.7,17,enterprise software,77.5,12.5,Lisboa Metro,20.0,10.0,12.5
Alvaiázere,Leiria,2,1,0,1,2.9,2.9,9.0,1,music,100.0,0.0,Other,50.0,0.0,50.0
Amadora,Lisboa,21,3,2,1,0.34,0.11,12.5,11,health,66.7,4.8,Lisboa Metro,14.3,9.5,4.8
Amarante,Porto,4,1,1,1,9.7,9.7,9.0,3,fintech,100.0,0.0,Other,25.0,25.0,25.0
Amares,Braga,1,0,0,0,0.0,,10.0,1,legal,100.0,0.0,Other,0.0,0.0,0.0
Anadia,Aveiro,4,0,0,0,0.0,,4.7,3,transportation,75.0,25.0,Other,0.0,0.0,0.0
Angra do Heroísmo,Açores,7,2,1,2,1.05,0.52,6.9,5,energy,100.0,0.0,Other,28.6,14.3,28.6
Ansião,Leiria,1,1,1,1,1.5,1.5,4.0,1,fintech,100.0,0.0,Other,100.0,100.0,100.0
Arcos de Valdevez,Viana do Castelo,4,1,1,0,0.17,0.17,4.5,2,legal,75.0,0.0,Other,25.0,25.0,0.0
Arouca,Aveiro,6,1,0,1,0.11,0.11,9.2,3,security,83.3,0.0,Porto Metro,16.7,0.0,16.7
Arraiolos,Évora,1,0,0,0,0.0,,7.0,1,enterprise software,100.0,0.0,Other,0.0,0.0,0.0
Arruda dos Vinhos,Lisboa,2,0,1,0,0.0,,14.0,2,fintech,100.0,0.0,Other,0.0,50.0,0.0
Aveiro,Aveiro,50,10,8,8,12.61,0.1,11.8,17,health,94.0,0.0,Other,20.0,16.0,16.0
Azambuja,Lisboa,4,2,2,1,10.1,5.05,24.0,3,media,100.0,0.0,Other,50.0,50.0,25.0
Barcelos,Braga,10,4,2,3,0.2,0.05,8.8,6,health,80.0,0.0,Other,40.0,20.0,30.0
Barreiro,Setúbal,7,1,2,0,0.05,0.05,10.6,7,chemicals,71.4,28.6,Lisboa Metro,14.3,28.6,0.0
Batalha,Leiria,4,0,0,0,0.0,,16.8,3,sports,50.0,0.0,Other,0.0,0.0,0.0
Beja,Beja,3,1,0,0,0.06,0.06,4.5,2,travel,66.7,0.0,Other,33.3,0.0,0.0
Benavente,Santarém,4,1,0,2,0.4,0.4,15.8,3,fintech,100.0,0.0,Other,25.0,0.0,50.0
Braga,Braga,138,37,21,43,108.5,1.16,9.2,26,health,86.2,5.1,Other,26.8,15.2,31.2
Bragança,Bragança,7,2,2,1,0.11,0.06,5.3,4,health,85.7,0.0,Other,28.6,28.6,14.3
Cabeceiras de Basto,Braga,1,0,0,0,0.0,,24.0,1,food,0.0,0.0,Other,0.0,0.0,0.0
Cadaval,Lisboa,2,2,2,0,3.01,1.5,2.5,2,education,100.0,0.0,Other,100.0,100.0,0.0
Caldas da Rainha,Leiria,9,2,0,2,1.05,0.52,8.0,6,enterprise software,100.0,0.0,Other,22.2,0.0,22.2
Cantanhede,Coimbra,26,7,6,9,29.22,1.53,15.0,3,health,76.9,7.7,Other,26.9,23.1,34.6
