Name,HQ state,HQ city,Total funding (EUR M),Launch year,Industries,Employees Range,Company status,hq_city_missing,hq_state_missing,primary_industry,metro_area,has_grant,has_vc,has_funding,startup_age
RDfine,Coimbra,Coimbra,,2023.0,health,2-10,operational,0,0,health,Other,0,0,0,2.0
BackChain,Porto,Porto,,2018.0,security,2-10,operational,0,0,security,Porto Metro,0,0,0,7.0
Liveplace,Guarda,Sabugal,,1996.0,real estate,51-200,acquired,0,0,real estate,Other,0,0,0,29.0
Inspiring,Lisboa,Lisboa,,2010.0,marketing,11-50,operational,0,0,marketing,Lisboa Metro,0,0,0,15.0
Events by tlc,Lisboa,Lisboa,,2002.0,event tech,2-10,operational,0,0,event tech,Lisboa Metro,0,0,0,23.0
Warrior Mata Clothing,Setúbal,Moita,,2013.0,fashion,1,operational,0,0,fashion,Lisboa Metro,0,0,0,12.0
Nimest,Porto,Porto,,2017.0,event tech,1,operational,0,0,event tech,Porto Metro,0,0,0,8.0
Ciengis,Coimbra,Coimbra,,2006.0,energy,1,operational,0,0,energy,Other,0,0,0,19.0
TRED3D,Leiria,Leiria,,2022.0,energy,1,operational,0,0,energy,Other,0,0,0,3.0
Flair,Lisboa,Lisboa,,2022.0,fashion,2-10,operational,0,0,fashion,Lisboa Metro,1,0,0,3.0
FastDrop,Lisboa,Cascais,,2021.0,transportation,11-50,operational,0,0,transportation,Lisboa Metro,0,1,0,4.0
Softrino,Lisboa,Lisboa,,2012.0,,2-10,operational,0,0,,Lisboa Metro,0,0,0,13.0
Overcube,Braga,Guimarães,,2017.0,fashion,2-10,operational,0,0,fashion,Other,0,0,0,8.0
Horta De Fanares,Lisboa,Sintra,0.01,2022.0,food,2-10,operational,0,0,food,Lisboa Metro,1,0,1,3.0
ScalefyAI,Lisboa,Lisboa,,2023.0,marketing;enterprise software,1,operational,0,0,marketing,Lisboa Metro,0,0,0,2.0
MyWalletPower,Lisboa,Lisboa,,2010.0,fintech;education,,operational,0,0,fintech,Lisboa Metro,0,0,0,15.0
Green Tech Challenge,Lisboa,Lisboa,,2015.0,energy,11-50,operational,0,0,energy,Lisboa Metro,0,0,0,10.0
Partnership Net,Aveiro,Estarreja,,2020.0,marketing,11-50,operational,0,0,marketing,Other,0,0,0,5.0
AGL Industrial Solutions,Lisboa,Lisboa,,2011.0,semiconductors,1,operational,0,0,semiconductors,Lisboa Metro,0,0,0,14.0
Euromex,Porto,Matosinhos,,1991.0,real estate,51-200,acquired,0,0,real estate,Porto Metro,0,0,0,34.0
Sovina,Porto,Porto,,2009.0,food,2-10,operational,0,0,food,Porto Metro,0,0,0,16.0
Estoril Sol Digital,Lisboa,Oeiras,,2015.0,gaming,11-50,operational,0,0,gaming,Lisboa Metro,0,0,0,10.0
Innovation Makers,Leiria,Óbidos,,2009.0,fintech;telecom,51-200,operational,0,0,fintech,Other,0,0,0,16.0
Des Solutio,Lisboa,Lisboa,,2018.0,chemicals,2-10,operational,0,0,chemicals,Lisboa Metro,0,0,0,7.0
RCN - Innovation in Aluminium Systems,Aveiro,Águeda,,2016.0,real estate,11-50,operational,0,0,real estate,Other,0,0,0,9.0
Castelbel Porto,Porto,Maia,,1999.0,,51-200,acquired,0,0,,Porto Metro,0,0,0,26.0
Greener Act,Madeira,Funchal,,2020.0,travel,2-10,operational,0,0,travel,Other,0,0,0,5.0
Coprate,Setúbal,Barreiro,,2014.0,chemicals,2-10,operational,0,0,chemicals,Lisboa Metro,0,0,0,11.0
Turnki,Lisboa,Lisboa,,2023.0,fintech;real estate,2-10,operational,0,0,fintech,Lisboa Metro,0,0,0,2.0
Fitness UP,Braga,Vila Nova de Famalicão,,2012.0,sports,501-1000,operational,0,0,sports,Other,0,0,0,13.0
LEITEK Innovative Solutions,Lisboa,Cascais,,2016.0,robotics,2-10,operational,0,0,robotics,Lisboa Metro,0,0,0,9.0
BankPDF,Porto,Porto,,2023.0,fintech,1,operational,0,0,fintech,Porto Metro,0,0,0,2.0
AD AIR CENTRE,Açores,Angra do Heroísmo,,2018.0,energy,11-50,operational,0,0,energy,Other,0,0,0,7.0
Optimal Group,Lisboa,Cascais,,2008.0,engineering and manufacturing equipment,11-50,operational,0,0,engineering and manufacturing equipment,Lisboa Metro,0,0,0,17.0
Farmácia Silveira,Lisboa,Lisboa,,1995.0,health,51-200,operational,0,0,health,Lisboa Metro,0,0,0,30.0
xval.ai,Lisboa,Lisboa,,2021.0,education,1,operational,0,0,education,Lisboa Metro,0,0,0,4.0
32 Senses,Lisboa,Lisboa,,2011.0,health,2-10,acquired,0,0,health,Lisboa Metro,0,0,0,14.0
VirtuaCrop,Lisboa,Lisboa,0.04,2022.0,real estate,2-10,operational,0,0,real estate,Lisboa Metro,1,1,1,3.0
beepcare,Castelo Branco,Covilhã,,2012.0,health;wellness beauty,1,operational,0,0,health,Other,0,0,0,13.0
NTW,Setúbal,Alcácer do Sal,,2014.0,enterprise software,2-10,operational,0,0,enterprise software,Other,0,0,0,11.0
"VISUAL THINKING - Digital Organization, Lda",Porto,Vila Nova de Gaia,,2018.0,enterprise software,,operational,0,0,enterprise software,Porto Metro,0,0,0,7.0
Fluxe Software,Leiria,Leiria,,2019.0,fintech,2-10,operational,0,0,fintech,Other,0,0,0,6.0
Wide Ocean Retreat,Lisboa,Oeiras,,2015.0,event tech,1,operational,0,0,event tech,Lisboa Metro,0,1,0,10.0
WeGlow,Lisboa,Cascais,,2013.0,fashion;event tech,1,operational,0,0,fashion,Lisboa Metro,0,0,0,12.0
Storming Universe,Porto,Porto,0.69,2024.0,education,11-50,operational,0,0,education,Porto Metro,0,1,1,1.0
Intelligent Retail Solutions,Porto,Vila Nova de Gaia,,2020.0,enterprise software,1,operational,0,0,enterprise software,Porto Metro,0,0,0,5.0
Heyva,Porto,Porto,,2024.0,enterprise software,2-10,operational,0,0,enterprise software,Porto Metro,0,0,0,1.0
Mindfly,Lisboa,Loures,,2023.0,education,1,operational,0,0,education,Lisboa Metro,0,0,0,2.0
OLAmobile,Castelo Branco,Covilhã,,2011.0,marketing,2-10,operational,0,0,marketing,Other,0,0,0,14.0
Magellan Biologics & Consulting,Porto,Porto,,2014.0,health,,acquired,0,0,health,Porto Metro,0,0,0,11.0
BIX Citizen,Porto,Porto,,2016.0,health,2-10,operational,0,0,health,Porto Metro,0,0,0,9.0
BeKoffee,Braga,Guimarães,,2018.0,fashion;energy,1,operational,0,0,fashion,Other,0,0,0,7.0
Safemed,Porto,Porto,,2018.0,enterprise software,11-50,operational,0,0,enterprise software,Porto Metro,0,0,0,7.0
Thorium Builder,Lisboa,Lisboa,,2019.0,,2-10,operational,0,0,,Lisboa Metro,0,0,0,6.0
Testwaves,Lisboa,Lisboa,,2023.0,gaming;enterprise software,2-10,operational,0,0,gaming,Lisboa Metro,0,0,0,2.0
tapetevoador,Viana do Castelo,Ponte da Barca,,2008.0,travel,2-10,operational,0,0,travel,Other,0,0,0,17.0
BeyonIdeas,Lisboa,Lisboa,,2014.0,fintech;enterprise software,11-50,operational,0,0,fintech,Lisboa Metro,0,0,0,11.0
Knowize,Lisboa,Lisboa,,2016.0,education;kids,2-10,operational,0,0,education,Lisboa Metro,0,0,0,9.0
InnerCore,Aveiro,Ílhavo,,2020.0,health,,operational,0,0,health,Other,0,0,0,5.0
Bidparcel,Lisboa,Lisboa,,2017.0,transportation,11-50,operational,0,0,transportation,Lisboa Metro,0,0,0,8.0
Rubinx,Setúbal,Palmela,,2022.0,enterprise software,1,operational,0,0,enterprise software,Lisboa Metro,0,0,0,3.0
Quantum Crescimento de Negócios,Braga,Braga,,2004.0,health;marketing,2-10,operational,0,0,health,Other,0,0,0,21.0
SNOWPASS,Setúbal,Almada,,2018.0,travel;marketing,2-10,operational,0,0,travel,Lisboa Metro,0,0,0,7.0
Xtreme.pt,Aveiro,Vagos,,2004.0,fashion,2-10,operational,0,0,fashion,Other,0,0,0,21.0
